func_sigla,func_desc,func_nivel
DS-2,DIRETOR DE ACOMPANHAMENTO E CONTROLE,
DS-2,DIR. DE ACOMPANHAMENTO E CONTROLE,
DIR,DIRETOR-PRESIDENTE DA FUND. DE VIG. EM SAÚDE DO AM - FVS,
DIRE02,VICE-PRESIDENTE DE NEGÓCIOS DE ATACADO,
VICE01,DIRETOR VICE-PRESIDENTE,
DIRETO,DIRETOR PRESIDENTE,
VICE-P,VICE-PRESIDENTE,
DIRE01,DIRETOR MÉDICO,
DIRI02,DIRETOR TÉCNICO OPERACIONAL INTERINO,
CDS-2,SECRETARIO EXECUTIVO,
ADAB,DIRETOR GERAL,
DIRE01,DIRETOR DE ESTRATÉGIA E TECNOLOGIA,
DIRE01,DIRETOR DE ADMINISTRAÇÃO E PESSOAS,
SEC,SECRETÁRIO EXECUTIVO DA RECEITA,NA
DIRE01,DIRETOR DE PLANEJAMENTO E DESENVOLVIMENTO,
DIRE02,DIRETOR-EXECUTIVO,
DIRI02,VICE PRESIDENTE,
DIRI03,VICE PRESIDENTE,
DIRI04,VICE PRESIDENTE,
DIRI05,VICE-PRESIDENTE,
DIRE01,DIRETOR DE DES. DE NEGÓCIOS E REGULAÇÃO,
CGE,GERENTE EXECUTIVO,1
DIRE01,DIRETOR DE FINANÇAS,
PREI02,DIRETOR-PRESIDENTE INTERINO,
DIRE01,DIRETORA COMERCIAL E PRODUTOS,
PREE02,DIRETORA COMERCIAL E PRODUTOS,
PREE03,DIRETORA - PRESIDENTE,
PREE04,DIRETORA COMERCIAL E DE PRODUTOS,
PREE05,DIRETORA-PRESIDENTE,
DIRE01,"DIRETORA DE GOVERNANÇA, RISCOS E CONFORMIDADE",
SEC,SECRETÁRIA EXECUTIVA DE ASSUNTOS ADMINISTRATIVOS DA SEFAZ,
DIRE01,DIRETOR CORPORATE BANK,
DIRE02,DIRETOR CORPORATE BANK,
DIRE01,DIRETORIA DE CLIENTES PESSOAS FÍSICAS,
DIRE02,DIRETORA DE CLIENTES PESSOAS FÍSICAS,
DIRE03,DIRETORA DE CLIENTES VAREJO MPE E PF,
PRES,DIRETOR PRESIDENTE,
DIRE01,DIRETOR FINANCEIRO E COMERCIAL,
DIRE01,DIRETOR TECNICO,
DIRE02,DIRETOR EXECUTIVO DE EXPLORAÇÃO E PRODUÇÃO,
DIRE01,DIRETOR FINANCEIRO E RISCOS,
NES,PRESIDENTE,17
DIRE01,DIRETOR DE INFRAESTRUTURA E GESTÃO PORTUÁRIA,
DIRE,DIRETOR-PRESIDENTE,
NES,DEFENSOR PUBL GERAL DA UNIAO,19
CGE,SECRETARIO-GERAL,1
DIRE01,DIR. DE RECUPERAÇÃO DE CRÉDITOS DE PESSOAS JURÍDICAS,
CONTR,CONTROLADOR-GERAL,
DIRE01,DIR. DE GERAÇÃO,
DIRE01,"DIRETOR FINANCEIRO, DE CRÉDITO E DE CAPTAÇÃO - DRFC",
DIRE01,VICE-PRESIDENTE DE GESTÃO FINANCEIRA E RELAÇÕES COM INVESTID,
DIRE02,VICE-PRESIDENTE DE GESTÃO FINANCEIRA E RELAÇÕES COM INVESTID,
PREE02,DIRETOR -PRESIDENTE,
BASICA,COMANDANTE-GERAL DO CORPO DE BOMBEIROS MILITAR,
DIR,DIRETOR EXECUTIVO,NA
DIRE01,VICE-PRESIDENTE DE GESTÃO FINANCEIRA E DE RELAÇÕES COM INVES,
DIRE02,DIRETOR EXECUTIVO GESTÃO DE ATIVOS,
CCD,PRESIDENTE,1
DAS,SUBSECRETARIO GERAL,1016
GOV,GOVERNADOR DO ESTADO,NA
DIRE01,VICE-PRESIDENTE DE DISTRIBUIÇÃO DE VAREJO,
DIRE02,VICE-PRESIDENTE DE DISTRIBUIÇÃO DE VAREJO,
DIRE03,VICE-PRESIDENTE DE DISTRIBUIÇÃO DE VAREJO,
CASA C,"SECRETÁRIO DE ESTADO, RESPONDENDO",NA
NA,"SECRETARIO DE ESTADO, DESIGNADO",
DIRE02,VICE-PRESIDENTE DE CONTROLES INTERNOS E GESTÃO DE RISCOS,
DAS,DIRETOR PRESIDENTE,1016
DIRI03,VICE-PRESIDENTE DE OPERAÇÕES,
VICE01,VICE-PRESIDENTE DE FINANÇAS E CONTROLE INTERNO,
DIRETO,DIRETOR-GERAL,NA
SE-2,DIRETOR EXECUTIVO,
DEL,DELEGADO GERAL ADJUNTO DA POLÍCIA CIVIL,NA
DIRE04,DIRETOR DE ADMINISTRAÇÃO E FINANÇAS,
PREI05,DIRETOR-PRESIDENTE,
CGE,PROCURADOR GERAL,1
DIRE01,DIRETORA EXECUTIVA,
CHEFE,CHEFE DO ESTADO-MAIOR DO CORPO DE BOMBEIROS MILITAR DO AM,
COMAND,SUBCOMANDANTE-GERAL DO CORPO DE BOMBEIROS MILITAR - AM,
COMAND,COMANDANTE-GERAL - CORPO DE BOMBEIROS MILITAR - AMAZONAS,
COMAND,SUBCOMANDANTE-GERAL-AÇÕES DEF. CIVIL DO CORPO BOMBEIROS - AM,
SEC,SECRETÁRIO EXECUTIVO DA SSP AM,
SEC,SECRETÁRIO DE ESTADO DE ADMINISTRAÇÃO PENITENCIÁRIA,
SEC,SEC. EXEC. ADJ. DE PLANEJAMENTO E GESTÃO INTEGRADA DA SSP AM,
SEC,SECRETÁRIO DE ESTADO EXTRAORDINÁRIO,
COMAND,COMANDANTE-GERAL DA POLÍCIA MILITAR DO AMAZONAS,
CHEFE,CHEFE DO ESTADO-MAIOR DA POLÍCIA MILITAR -ESTADO DO AMAZONAS,
SCOMAN,SUBCOMANDANTE  DA POLÍCIA MILITAR DO AMAZONAS,
DIR,DIRETOR-PRES. DA AG. REG. DOS SERV. PÚB. CONCEDIDOS DO AM,
DIR,DIRETORA-PRESIDENTE DA FUND. TELEV. E RÁDIO CULTURA DO AM,
CE-2,DIRETOR ADMINISTRATIVO E FINANCEIRO,
SEC,SECRETÁRIO DE ESTADO DE COMUNICAÇÃO SOCIAL,
DIRE01,DIRETOR DE PLAN. DE MERCADO,
DIRE01,DIRETOR FINANCEIRO,
ADAB,"DIRETOR GERAL, DESIGNADO",
DIRE01,DIRETOR DE GOVERNANÇA,
PREE01,DIRETOR PRESIDENTE,
DIRE01,DIRETOR-EXECUTIVO DE PESQUISA E DESENVOLVIMENTO - DEPD,
